White,Black,Winner,White is Computer,Black is Computer,White ELO,Black ELO,Move FEN,Move Number
juliachen,perupepe,0-1,False,False,1321,1359,7r/3k1pp1/7p/ppbPp3/3pP3/P4B1P/1P3PP1/6K1,40
juliachen,LeoFan,1-0,False,False,1306,1324,1r1q1rk1/2p2ppp/2n5/5b2/2B5/b1P5/P2NQPPP/R4RK1,40
Andinn,BrandyJ,0-1,False,False,1333,1343,1r3knr/pBq2ppp/3Np3/1bP5/1P2Q3/8/P4PPP/6KR,40
neotrantor,juliachen,1-0,False,False,1398,1312,r4rk1/pp1P2pp/2p1bpn1/8/4p3/1PP1B3/P5PP/2KRN2R,40
missbc,kledder,0-1,False,False,1216,1312,r4rk1/1Q3ppp/p1np1n2/2q5/4P3/P1N2PB1/1PP3PP/2KRR3,40
LetsCelebrate,Talmerge,0-1,False,False,1351,1363,b1kr3r/p1p2pp1/P2q1nnp/1p1p4/2PP4/1B3P2/1P1N2PP/R1Q1R1K1,40
bajracgarya,AmjadSawal,0-1,False,False,1307,1354,r1b4k/ppp3p1/2n3B1/6q1/3P1rp1/8/PPQB3P/2KR2R1,40
sharmivivek,jhefferson,0-1,False,False,1316,1388,2kr3r/pppb4/4p3/4q2p/3nB1p1/P3B1P1/1P3P1K/R2Q1R2,40
Andinn,SchibbiTv,1-0,False,False,1325,1226,3rbr2/2Qnk1p1/p2P3p/1pp5/8/3P4/PPP1N1PP/R3KR2,40
Freyjaja,ANSBr,0-1,False,False,1260,1396,r4rk1/pp4p1/2p2p1p/3p1P2/3b1P2/3B4/P5PP/3K3R,40
ANSBr,Freyjaja,1-0,False,False,1389,1343,r2qk1r1/pQ1b3p/3b4/2pp1p2/2P3p1/4B1P1/PP3P1P/R4RK1,40
haroldwang,LetsCelebrate,0-1,False,False,1281,1340,r2qr2k/4b1pp/p2p1p2/1bpQp3/1P2P3/1P1PBN2/1P3PPP/R4RK1,40
