White,Black,Winner,White is Computer,Black is Computer,White ELO,Black ELO,Move FEN,Move Number
MGShaffer,EddieTheOtter,1-0,False,False,1601,1733,r2qrnk1/1p4bp/p1p1n1p1/2P1p1N1/1PBpP3/PQ5P/5PP1/2BR1RK1,40
EddieTheOtter,MGShaffer,1-0,False,False,1733,1601,1q1rr1k1/p3bpQp/2p2n2/1p3N2/1P2p3/P5N1/R1P2PPP/3R2K1,40
HoosierState,ducetray,0-1,False,False,1644,1632,r4k2/1p3ppp/1pb5/2n1p2n/2P1P2P/P1q2PPN/5K2/R2Q1BR1,40
richardmario,guarionex,0-1,False,False,1669,1796,brr1n1k1/2qnbppp/3p1P1B/4p3/2p1P1N1/1BN3QP/1PP3P1/R4RK1,40
ANTONIOPAPICHULO,burlon,1-0,False,False,1693,1757,r1b2rk1/2q3pp/p1p1p3/3p4/1P6/P2BR2P/1RP2PP1/3Q2K1,40
guarionex,richardmario,1-0,False,False,1791,1674,1k2r2r/pp1n1q1p/2P1bp2/2bn2p1/Q1BN4/PN6/1B3PPP/R3R1K1,40
FocusPokus,LordRudman,1/2-1/2,False,False,1660,1621,r4rk1/pp3pB1/2p3Q1/4n3/2P3b1/8/PP4PP/R4RK1,40
guarionex,richardmario,1-0,False,False,1779,1686,2kr4/1ppnbpqp/p1n3B1/3p4/3P1B2/P1P2b2/3Q1PPP/RN2R1K1,40
mayan,Bestukmow,0-1,False,False,1738,1620,r1b2r1k/pp1n2pp/2p5/3p1pq1/1P3N2/PQ1PP2P/2B2PP1/R4RK1,40
richardmario,guarionex,0-1,False,False,1692,1773,2r2rk1/1p3pp1/p2b3p/q7/P1RPn3/4B2P/4QPPN/5RK1,40
FocusPokus,entrenamiento,0-1,False,False,1666,1758,r3r1k1/p3qp2/2p3pp/1p2n3/3NPpbP/1P1B1P2/P1PN2P1/Q3R1K1,40
richardmario,guarionex,1-0,False,False,1688,1777,r3k2r/1p3ppp/p2b4/2pPp3/4n3/2P4P/RP2QPPN/6K1,40
solorunningsolo,hecklepeckle,0-1,False,False,1624,1652,r4rk1/p1p4p/2pq2p1/3pbp1n/NB6/P3PQ2/1PP3P1/R4R1K,40
guarionex,richardmario,0-1,False,False,1787,1678,2kr1b1r/1pp2p2/p3b2p/3pP3/6q1/PQPBR3/1P1B1PP1/R5K1,40
richardmario,guarionex,0-1,False,False,1684,1781,3r1rk1/5ppp/p5n1/qp1pPR2/2pP4/P1n1BQ1P/3N2PN/R5K1,40
balovzky,moydot,0-1,False,False,1604,1651,r5k1/1pQb1rpp/5n2/p3p3/1P6/P7/3K1bPP/2BR2NR,40
LordRudman,FocusPokus,0-1,False,False,1628,1659,1r4k1/5ppp/2p1p3/p1N5/2b5/5N1P/Pb3PP1/3R2K1,40
guarionex,richardmario,1-0,False,False,1775,1690,3r1r2/pkp1q1pp/2p2p2/3p4/3Pb3/2P2N2/PP1BQ1PP/R4RK1,40
richardmario,FocusPokus,0-1,False,False,1709,1641,r4rk1/pp3pp1/4b2B/q3P3/3n4/P5QP/2p2PPN/R3R1K1,40
Jorocco,MRZWISCHENZUG,0-1,False,False,1646,1657,3q1rk1/p4pbp/4b1p1/3p4/2rn2P1/2N1B2P/PP3PB1/2RQ1RK1,40
LordRudman,FocusPokus,1-0,False,False,1628,1650,6k1/1p2qpp1/p6p/2rrp3/4Q3/7P/PPP2PP1/2R1R1K1,40
agrfor,richardmario,0-1,False,False,1705,1701,r7/ppp2p2/2np3k/4p2b/4P2P/2PP1Pr1/P1P2KP1/R4B1R,40
richardmario,agrfor,0-1,False,False,1709,1697,r4r2/5pbk/pp1p1qpp/2pP4/P4P2/3PB2P/1P1Q2P1/1R2R1K1,40
guidogc,nathanlyle,0-1,False,False,1783,1633,r2qk2r/1p1b2bp/p2p1pp1/3Nn3/P2N3Q/8/1PP3PP/R1B1R1K1,40
pertinent,leibek,1-0,False,False,1766,1758,1r3Nk1/1b1q2bp/p1p2np1/P1Pn1p2/3P4/3B1N2/3B1PPP/1R1Q1RK1,40
MRZWISCHENZUG,surios,0-1,False,False,1664,1707,2rb1rk1/pB4p1/np2bpNp/2p5/5B2/6P1/PP3P1P/R2R2K1,40
leibek,pertinent,0-1,False,False,1766,1758,r4rk1/pp1b2p1/3Pnq1p/3Qp2P/4Pp2/2N2P2/PP2N3/1K4RR,40
cocoykima,TheNorthernPike,0-1,False,False,1778,1797,2r2rk1/5ppp/3Qbn2/p3p3/1pp1P1P1/2q1B2P/P2NNP2/1R2KB1R,40
pertinent,leibek,0-1,False,False,1766,1758,rn3Bk1/1b3pbp/pp4p1/2pR4/Q1P5/3N2P1/PP2qP1P/R5K1,40
leibek,pertinent,1-0,False,False,1749,1775,r2q1r1k/ppp5/2n2b1p/5BpP/3P4/P1B1P3/2Q2PP1/R4RK1,40
LuigiBot,gdaly,0-1,True,False,1666,1633,r3r1k1/pp2np1p/2p1q1p1/3pP3/3Q1PbP/P1NB2P1/1PP5/1RR3K1,40
gdaly,LuigiBot,1-0,False,True,1623,1675,q4rk1/pp2p1bp/1nr1p1p1/2p1P3/P1Pp4/1P1P1BP1/1B2QPKP/R4R2,40
LuigiBot,gdaly,1/2-1/2,True,False,1676,1622,r4rk1/5pbp/1qp1p1p1/3pP3/nP1P4/NQ3NP1/P4P1P/R4RK1,40
gdaly,LuigiBot,0-1,False,True,1630,1669,1k3b2/pp2p2p/3r1p2/QNp1p3/2PqP1r1/1P1P4/P4PP1/R4RK1,40
LuigiBot,gdaly,1-0,True,False,1662,1639,r1b5/1p1n2bk/p3p1Qp/3pq3/7N/3B4/PPP3PP/R4RK1,40
gdaly,LuigiBot,0-1,False,True,1649,1654,r5k1/1p6/pnnpBq1b/2p1p2Q/5p1N/1P1P2P1/PBP2P1P/R3R1K1,40
agrfor,ediredes,0-1,False,False,1704,1766,2kr3r/pp2bp2/3pq3/1PpNp2p/P1P1Pp2/3P3P/5PP1/R2Q1RK1,40
